Train No,Train Name,SEQ,Station Code,Station Name,Station Zone,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Source Zone,Destination Station,Destination Station Name,Destination Zone
58602,ADRA KGP PAS,7,ANCR,ANCHURI PH,SER,06:22:00,06:23:00,42,ADRA,ADRA,SER,KGP,KHARAGPUR,SER
68090,ADRA MDN LOC,7,ANCR,ANCHURI PH,SER,09:01:00,09:02:00,42,ADRA,ADRA,SER,MDN,MIDNAPORE,SER
68098,ADRA GBA PAS,7,ANCR,ANCHURI PH,SER,18:16:00,18:17:00,42,ADRA,ADRA,SER,GBA,GARBETA,SER
68097,GBA ADRA LOC,9,ANCR,ANCHURI PH,SER,21:15:00,21:16:00,65,GBA,GARBETA,SER,ADRA,ADRA,SER
58601,KGP ADRA PAS,16,ANCR,ANCHURI PH,SER,19:45:00,19:46:00,125,KGP,KHARAGPUR,SER,ADRA,ADRA,SER
68089,MDN ADRA LOC,14,ANCR,ANCHURI PH,SER,13:22:00,13:23:00,112,MDN,MIDNAPORE,SER,ADRA,ADRA,SER
68057,ADRA PRR LOC,3,ANR,ANARA,SER,06:02:00,06:03:00,13,ADRA,ADRA,SER,PRR,PURULIA JN.,SER
58163,GBA-RNC PASS,10,ANR,ANARA,SER,07:56:00,07:57:00,121,GBA,GARBETA,SER,RNC,RANCHI,SER
22875,KGP-PRR EXPR,13,ANR,ANARA,SER,10:51:00,10:52:00,181,KGP,KHARAGPUR,SER,PRR,PURULIA JN.,SER
22876,PRR-KGP EXPR,2,ANR,ANARA,SER,12:18:00,12:20:00,25,PRR,PURULIA JN.,SER,KGP,KHARAGPUR,SER
68058,PRR ADRA LOC,5,ANR,ANARA,SER,07:43:00,07:44:00,25,PRR,PURULIA JN.,SER,ADRA,ADRA,SER
58164,HTE-BOA PASS,14,ANR,ANARA,SER,18:47:00,18:48:00,147,RNC,RANCHI,SER,GBA,GARBETA,SER
12883,SRC PURULIA,11,ANR,ANARA,SER,11:11:00,11:13:00,297,SRC,SANTRAGACHI JN.,SER,PRR,PURULIA JN.,SER
58652,LAD RNC PASS,9,AOR,ARGORA  PH,SER,08:20:00,08:21:00,65,LAD,LOHARDAGA  BS,SER,RNC,RANCHI,SER
58656,LAD RNC PASS,9,AOR,ARGORA  PH,SER,18:20:00,18:21:00,65,LAD,LOHARDAGA  BS,SER,RNC,RANCHI,SER
58651,RNC LAD PASS,2,AOR,ARGORA  PH,SER,05:05:00,05:06:00,2,RNC,RANCHI,SER,LAD,LOHARDAGA  BS,SER
58655,RNC-LAD PASS,2,AOR,ARGORA  PH,SER,15:05:00,15:06:00,2,RNC,RANCHI,SER,LAD,LOHARDAGA  BS,SER
58657,RNC-LAD PASS,2,AOR,ARGORA  PH,SER,19:00:00,19:01:00,2,RNC,RANCHI,SER,LAD,LOHARDAGA  BS,SER
68686,DGHA-PKU DEM,5,APRD,ASHAPURNA DE,SER,06:03:00,06:04:00,18,DGHA,DIGHA FS,SER,PKU,PANSKURA,SER
68688,DGHA-PKU EMU,5,APRD,ASHAPURNA DE,SER,07:08:00,07:09:00,18,DGHA,DIGHA FS,SER,PKU,PANSKURA,SER
68690,DGHA-MCA LOC,5,APRD,ASHAPURNA DE,SER,11:40:00,11:41:00,18,DGHA,DIGHA FS,SER,MCA,MECHEDA,SER
68685,MCA DGHA LOC,18,APRD,ASHAPURNA DE,SER,10:18:00,10:19:00,112,MCA,MECHEDA,SER,DGHA,DIGHA FS,SER
68689,PKU-DGHA MEM,14,APRD,ASHAPURNA DE,SER,21:31:00,21:32:00,99,PKU,PANSKURA,SER,DGHA,DIGHA FS,SER
8036,BLS - KGP ME,7,ARD,AMARDA ROAD,SER,15:59:00,16:00:00,33,BLS,BALASORE,SER,KGP,KHARAGPUR,SER
68022,BLS KGP LOCA,6,ARD,AMARDA ROAD,SER,13:10:00,13:11:00,33,BLS,BALASORE,SER,KGP,KHARAGPUR,SER
8035,BLS - KGP DE,13,ARD,AMARDA ROAD,SER,13:40:00,13:41:00,87,KGP,KHARAGPUR,SER,BLS,BALASORE,SER
68021,KGP BLS LOCA,13,ARD,AMARDA ROAD,SER,10:56:00,10:57:00,87,KGP,KHARAGPUR,SER,BLS,BALASORE,SER
58801,BPQ - G PASS,16,ARNG,ARUN NAGAR H,SECR,17:40:00,17:41:00,156,BPQ,BALHARSHAH,SER,G,GONDIA JN.,SER
58803,BPQ - G PASS,16,ARNG,ARUN NAGAR H,SECR,09:15:00,09:16:00,156,BPQ,BALHARSHAH,SER,G,GONDIA JN.,SER
78819,BPQ-G DEMU,16,ARNG,ARUN NAGAR H,SECR,21:38:00,21:39:00,156,BPQ,BALHARSHAH,SER,G,GONDIA JN.,SER
58802,G - BPQ PASS,13,ARNG,ARUN NAGAR H,SECR,08:49:00,08:50:00,93,G,GONDIA JN.,SER,BPQ,BALHARSHAH,SER
58804,G - BPQ PASS,13,ARNG,ARUN NAGAR H,SECR,19:00:00,19:01:00,93,G,GONDIA JN.,SER,BPQ,BALHARSHAH,SER
78820,G- BPQ DEMU,13,ARNG,ARUN NAGAR H,SECR,12:13:00,12:14:00,93,G,GONDIA JN.,SER,BPQ,BALHARSHAH,SER
58031,CKU - TATA P,7,ASB,ASANBONI,SER,14:42:00,14:43:00,52,CKU,CHAKULIA,SER,TATA,TATANAGAR JN,SER
68023,JGM-PRR MEMU,11,ASB,ASANBONI,SER,06:17:00,06:18:00,81,JGM,JHARGRAM,SER,PRR,PURULIA JN.,SER
58021,KGP TATA PAS,16,ASB,ASANBONI,SER,11:54:00,11:55:00,120,KGP,KHARAGPUR,SER,TATA,TATANAGAR JN,SER
68005,KGP TATA PAS,16,ASB,ASANBONI,SER,17:36:00,17:37:00,120,KGP,KHARAGPUR,SER,TATA,TATANAGAR JN,SER
68011,KGP TATA LOC,17,ASB,ASANBONI,SER,20:39:00,20:40:00,120,KGP,KHARAGPUR,SER,TATA,TATANAGAR JN,SER
68013,KGP TATA  LO,17,ASB,ASANBONI,SER,07:55:00,07:56:00,120,KGP,KHARAGPUR,SER,TATA,TATANAGAR JN,SER
68015,KGP TATA LOC,17,ASB,ASANBONI,SER,23:13:00,23:14:00,120,KGP,KHARAGPUR,SER,TATA,TATANAGAR JN,SER
68024,PRR-JGM MEMU,17,ASB,ASANBONI,SER,12:23:00,12:24:00,107,PRR,PURULIA JN.,SER,JGM,JHARGRAM,SER
58022,TATA KGP  PA,3,ASB,ASANBONI,SER,18:43:00,18:44:00,17,TATA,TATANAGAR JN,SER,KGP,KHARAGPUR,SER
58032,TATA - CKU P,3,ASB,ASANBONI,SER,11:43:00,11:44:00,17,TATA,TATANAGAR JN,SER,CKU,CHAKULIA,SER
68006,TATA KGP PAS,3,ASB,ASANBONI,SER,09:10:00,09:11:00,17,TATA,TATANAGAR JN,SER,KGP,KHARAGPUR,SER
68012,TATA KGP LOC,2,ASB,ASANBONI,SER,03:33:00,03:34:00,17,TATA,TATANAGAR JN,SER,KGP,KHARAGPUR,SER
68014,KGP TATA LOC,2,ASB,ASANBONI,SER,14:19:00,14:20:00,17,TATA,TATANAGAR JN,SER,KGP,KHARAGPUR,SER
68016,TATA KGP LOC,2,ASB,ASANBONI,SER,04:37:00,04:38:00,17,TATA,TATANAGAR JN,SER,KGP,KHARAGPUR,SER
58801,BPQ - G PASS,8,AWH,ALEWAHI,SECR,15:57:00,15:59:00,90,BPQ,BALHARSHAH,SER,G,GONDIA JN.,SER
58803,BPQ - G PASS,8,AWH,ALEWAHI,SECR,07:52:00,07:54:00,90,BPQ,BALHARSHAH,SER,G,GONDIA JN.,SER
78819,BPQ-G DEMU,8,AWH,ALEWAHI,SECR,19:30:00,19:31:00,90,BPQ,BALHARSHAH,SER,G,GONDIA JN.,SER
58802,G - BPQ PASS,21,AWH,ALEWAHI,SECR,10:25:00,10:27:00,158,G,GONDIA JN.,SER,BPQ,BALHARSHAH,SER
58804,G - BPQ PASS,21,AWH,ALEWAHI,SECR,20:38:00,20:40:00,158,G,GONDIA JN.,SER,BPQ,BALHARSHAH,SER
78820,G- BPQ DEMU,21,AWH,ALEWAHI,SECR,13:39:00,13:41:00,158,G,GONDIA JN.,SER,BPQ,BALHARSHAH,SER
