Train no,Train Name,arrival,Station Code,Zone,duration_m,Station Name,departure,return_train,Destination Station,Destination Station Name,Distance
51033,Mumbai Sainagar Shirdi Fast Pass(Via Daund),10:55:00,CSTM,CR,0,MUMBAI CST,22:55:00,51034,SNSI,SAINAGAR SHIRDI,455
51034,Sainagar Shirdi-Mumbai Fast Passenger(Via Daund),04:10:00,SNSI,CR,30,SAINAGAR SHIRDI,16:40:00,51033,CSTM,MUMBAI CST,455
51117,Katni Chopan Mix Passenger,19:05:00,KTE,CR,50,KATNI,10:15:00,51118,CPU,CHOPAN,326
51118,Chopan Katni Passenger,16:45:00,CPU,CR,30,CHOPAN,07:15:00,51117,KTE,KATNI,326
51135,Badnera Amravati Passenger,01:45:00,BD,CR,15,BADNERA JN,01:30:00,51136,AMI,Amravati,6
51136,Amravati Badnera Passenger,02:30:00,AMI,CR,15,Amravati,02:15:00,51137,BD,BADNERA JN,6
51137,Badnera Amravati Passenger,03:35:00,BD,CR,15,BADNERA JN,03:20:00,51136,AMI,Amravati,9
51138,Amravati Badnera Passenger,04:25:00,AMI,CR,15,Amravati,04:10:00,51137,BD,BADNERA JN,6
51139,Badnera Amravati Passenger,06:40:00,BD,CR,15,BADNERA JN,06:25:00,51140,AMI,Amravati,6
51140,Amravati Badnera Passenger,07:20:00,AMI,CR,15,Amravati,07:05:00,51139,BD,BADNERA JN,6
51141,Badnera Amravati Passenger,11:15:00,BD,CR,15,BADNERA JN,11:00:00,51142,AMI,Amravati,6
51142,Amravati Badnera Passenger,12:00:00,AMI,CR,15,Amravati,11:45:00,51141,BD,BADNERA JN,6
51145,Badnera Amravati Mix Passenger,18:15:00,BD,CR,15,BADNERA JN,18:00:00,51146,AMI,Amravati,6
51146,Amravati Badnera Passenger,19:00:00,AMI,CR,15,Amravati,18:45:00,51145,BD,BADNERA JN,6
51147,Badnera Amravati Passenger,20:05:00,BD,CR,15,BADNERA JN,19:50:00,51146,AMI,Amravati,6
